2025-12-06 20:22:24 | INFO     | test | 🔧 SISTEMA: Teste do sistema de logging
2025-12-06 20:22:24 | INFO     | test | 🧠 IA: Teste do módulo de IA
2025-12-06 20:22:24 | INFO     | test | 🎤 VOZ: Teste do módulo de voz
2025-12-06 20:22:24 | INFO     | core.config_manager | Configurações carregadas com sucesso
2025-12-06 20:22:24 | WARNING  | core.config_manager | OpenAI API key não configurada - funcionalidade de IA limitada
2025-12-06 20:22:24 | INFO     | ai.brain | 🧠 IA: OpenAI API não configurada - usando respostas pré-definidas
2025-12-06 20:22:24 | INFO     | ai.brain | 🧠 IA: Motor de IA inicializado
2025-12-06 20:22:24 | INFO     | core.config_manager | Configurações carregadas com sucesso
2025-12-06 20:22:24 | WARNING  | core.config_manager | OpenAI API key não configurada - funcionalidade de IA limitada
2025-12-06 20:22:24 | INFO     | ai.learning | 🧠 IA: Carregadas 0 preferências
2025-12-06 20:22:24 | INFO     | ai.learning | 🧠 IA: Sistema de aprendizado inicializado
2025-12-06 20:22:24 | INFO     | core.config_manager | Configurações carregadas com sucesso
2025-12-06 20:22:24 | WARNING  | core.config_manager | OpenAI API key não configurada - funcionalidade de IA limitada
2025-12-06 20:22:24 | INFO     | web.app | 🔧 SISTEMA: Interface web inicializada
2025-12-06 20:23:47 | INFO     | core.config_manager | Configurações carregadas com sucesso
2025-12-06 20:23:47 | WARNING  | core.config_manager | OpenAI API key não configurada - funcionalidade de IA limitada
2025-12-06 20:23:47 | INFO     | demo | 🔧 SISTEMA: Inicializando JARVIS...
2025-12-06 20:23:47 | INFO     | ai.brain | 🧠 IA: OpenAI API não configurada - usando respostas pré-definidas
2025-12-06 20:23:47 | INFO     | ai.brain | 🧠 IA: Motor de IA inicializado
2025-12-06 20:24:24 | INFO     | core.config_manager | Configurações carregadas com sucesso
2025-12-06 20:24:24 | WARNING  | core.config_manager | OpenAI API key não configurada - funcionalidade de IA limitada
2025-12-06 20:24:24 | INFO     | demo | 🔧 SISTEMA: Inicializando JARVIS...
2025-12-06 20:24:24 | INFO     | ai.brain | 🧠 IA: OpenAI API não configurada - usando respostas pré-definidas
2025-12-06 20:24:24 | INFO     | ai.brain | 🧠 IA: Motor de IA inicializado
2025-12-06 20:25:03 | INFO     | test | 🔧 SISTEMA: Teste do sistema de logging
2025-12-06 20:25:03 | INFO     | test | 🧠 IA: Teste do módulo de IA
2025-12-06 20:25:03 | INFO     | test | 🎤 VOZ: Teste do módulo de voz
2025-12-06 20:25:03 | INFO     | core.config_manager | Configurações carregadas com sucesso
2025-12-06 20:25:03 | WARNING  | core.config_manager | OpenAI API key não configurada - funcionalidade de IA limitada
2025-12-06 20:25:03 | INFO     | ai.brain | 🧠 IA: OpenAI API não configurada - usando respostas pré-definidas
2025-12-06 20:25:03 | INFO     | ai.brain | 🧠 IA: Motor de IA inicializado
